Episode  | Reward     | Latency  | Reliab   | Success  | Fairness | L_Fair   | L_Rel    | L_Delay 
193      | 593.40     | 0.2277   | 1.0000   | 0.9713   | 0.8433   | 0.0003   | 0.0000   | 0.0003  
194      | 592.91     | 0.2217   | 1.0000   | 0.9627   | 0.8548   | 0.0002   | 0.0000   | 0.0004  
195      | 581.24     | 0.2395   | 1.0000   | 0.9573   | 0.8357   | 0.0004   | 0.0000   | 0.0004  
196      | 587.42     | 0.2325   | 1.0000   | 0.9640   | 0.8498   | 0.0003   | 0.0000   | 0.0004  
197      | 595.99     | 0.2185   | 1.0000   | 0.9627   | 0.8472   | 0.0003   | 0.0000   | 0.0004  
198      | 589.14     | 0.2336   | 1.0000   | 0.9700   | 0.8464   | 0.0003   | 0.0000   | 0.0003  
199      | 581.39     | 0.2399   | 1.0000   | 0.9607   | 0.8381   | 0.0003   | 0.0000   | 0.0004  
200      | 582.77     | 0.2346   | 1.0000   | 0.9607   | 0.8495   | 0.0003   | 0.0000   | 0.0004  
201      | 597.65     | 0.2213   | 1.0000   | 0.9713   | 0.8516   | 0.0003   | 0.0000   | 0.0003  
202      | 593.05     | 0.2312   | 1.0000   | 0.9720   | 0.8477   | 0.0002   | 0.0000   | 0.0003  
203      | 596.22     | 0.2219   | 1.0000   | 0.9693   | 0.8587   | 0.0002   | 0.0000   | 0.0003  
204      | 597.66     | 0.2215   | 1.0000   | 0.9733   | 0.8405   | 0.0003   | 0.0000   | 0.0003  
205      | 592.77     | 0.2248   | 1.0000   | 0.9667   | 0.8457   | 0.0004   | 0.0000   | 0.0003  
206      | 583.01     | 0.2368   | 1.0000   | 0.9600   | 0.8533   | 0.0003   | 0.0000   | 0.0004  
207      | 563.18     | 0.2642   | 1.0000   | 0.9567   | 0.8493   | 0.0002   | 0.0000   | 0.0004  
208      | 579.06     | 0.2379   | 1.0000   | 0.9607   | 0.8344   | 0.0004   | 0.0000   | 0.0004  
209      | 562.20     | 0.2701   | 1.0000   | 0.9527   | 0.8195   | 0.0004   | 0.0000   | 0.0005  
210      | 567.07     | 0.2652   | 1.0000   | 0.9553   | 0.8440   | 0.0004   | 0.0000   | 0.0005  
211      | 572.11     | 0.2499   | 1.0000   | 0.9553   | 0.8394   | 0.0003   | 0.0000   | 0.0004  
212      | 567.97     | 0.2609   | 1.0000   | 0.9607   | 0.8275   | 0.0004   | 0.0000   | 0.0004  
213      | 591.71     | 0.2286   | 1.0000   | 0.9660   | 0.8175   | 0.0005   | 0.0000   | 0.0003  
214      | 589.16     | 0.2319   | 1.0000   | 0.9667   | 0.8424   | 0.0005   | 0.0000   | 0.0004  
215      | 603.01     | 0.2142   | 1.0000   | 0.9673   | 0.8623   | 0.0002   | 0.0000   | 0.0003  
216      | 588.96     | 0.2329   | 1.0000   | 0.9653   | 0.8474   | 0.0004   | 0.0000   | 0.0004  
217      | 593.05     | 0.2212   | 1.0000   | 0.9660   | 0.8308   | 0.0004   | 0.0000   | 0.0003  
218      | 572.51     | 0.2622   | 1.0000   | 0.9653   | 0.8156   | 0.0005   | 0.0000   | 0.0004  
219      | 577.55     | 0.2397   | 1.0000   | 0.9520   | 0.8399   | 0.0003   | 0.0000   | 0.0005  
220      | 583.79     | 0.2366   | 1.0000   | 0.9647   | 0.8065   | 0.0004   | 0.0000   | 0.0004  
221      | 592.24     | 0.2343   | 1.0000   | 0.9687   | 0.8489   | 0.0002   | 0.0000   | 0.0003  
222      | 592.89     | 0.2230   | 1.0000   | 0.9647   | 0.8392   | 0.0003   | 0.0000   | 0.0004  
223      | 587.16     | 0.2324   | 1.0000   | 0.9653   | 0.8377   | 0.0003   | 0.0000   | 0.0003  
224      | 587.94     | 0.2405   | 1.0000   | 0.9647   | 0.8506   | 0.0003   | 0.0000   | 0.0003  
225      | 593.95     | 0.2266   | 1.0000   | 0.9700   | 0.8270   | 0.0003   | 0.0000   | 0.0003  
226      | 589.63     | 0.2343   | 1.0000   | 0.9707   | 0.8538   | 0.0002   | 0.0000   | 0.0003  
227      | 603.44     | 0.2183   | 1.0000   | 0.9780   | 0.8502   | 0.0002   | 0.0000   | 0.0002  
228      | 592.91     | 0.2251   | 1.0000   | 0.9600   | 0.8496   | 0.0003   | 0.0000   | 0.0004  
229      | 590.86     | 0.2323   | 1.0000   | 0.9687   | 0.8254   | 0.0005   | 0.0000   | 0.0003  
230      | 593.43     | 0.2292   | 1.0000   | 0.9733   | 0.8362   | 0.0003   | 0.0000   | 0.0002  
231      | 585.01     | 0.2231   | 1.0000   | 0.9567   | 0.8455   | 0.0004   | 0.0000   | 0.0004  
232      | 596.50     | 0.2280   | 1.0000   | 0.9680   | 0.8600   | 0.0002   | 0.0000   | 0.0003  
233      | 599.05     | 0.2209   | 1.0000   | 0.9733   | 0.8517   | 0.0002   | 0.0000   | 0.0002  
234      | 589.03     | 0.2351   | 1.0000   | 0.9727   | 0.8451   | 0.0003   | 0.0000   | 0.0003  
235      | 596.08     | 0.2228   | 1.0000   | 0.9693   | 0.8658   | 0.0002   | 0.0000   | 0.0003  
236      | 589.18     | 0.2308   | 1.0000   | 0.9653   | 0.8370   | 0.0004   | 0.0000   | 0.0003  
237      | 582.33     | 0.2405   | 1.0000   | 0.9633   | 0.8361   | 0.0004   | 0.0000   | 0.0004  
238      | 593.37     | 0.2249   | 1.0000   | 0.9640   | 0.8428   | 0.0004   | 0.0000   | 0.0004  
