Episode  | Reward     | Latency  | Reliab   | Success  | Fairness | L_Fair   | L_Rel    | L_Delay 
170      | 474.68     | 0.3902   | 1.0000   | 0.9353   | 0.7126   | 0.0018   | 0.0000   | 0.0010  
171      | 485.30     | 0.3752   | 1.0000   | 0.9333   | 0.7291   | 0.0016   | 0.0000   | 0.0010  
172      | 476.53     | 0.3953   | 1.0000   | 0.9313   | 0.7293   | 0.0016   | 0.0000   | 0.0010  
173      | 474.76     | 0.3911   | 1.0000   | 0.9260   | 0.7413   | 0.0014   | 0.0000   | 0.0010  
174      | 484.49     | 0.3881   | 1.0000   | 0.9373   | 0.7270   | 0.0017   | 0.0000   | 0.0010  
175      | 468.69     | 0.4059   | 1.0000   | 0.9233   | 0.7085   | 0.0019   | 0.0000   | 0.0012  
176      | 484.43     | 0.3824   | 1.0000   | 0.9340   | 0.7027   | 0.0020   | 0.0000   | 0.0010  
177      | 472.75     | 0.3954   | 1.0000   | 0.9267   | 0.7001   | 0.0022   | 0.0000   | 0.0011  
178      | 490.88     | 0.3806   | 1.0000   | 0.9467   | 0.7380   | 0.0014   | 0.0000   | 0.0008  
179      | 479.38     | 0.3830   | 1.0000   | 0.9280   | 0.7251   | 0.0015   | 0.0000   | 0.0011  
180      | 485.41     | 0.3866   | 1.0000   | 0.9413   | 0.7206   | 0.0019   | 0.0000   | 0.0009  
181      | 482.02     | 0.3819   | 1.0000   | 0.9247   | 0.7142   | 0.0018   | 0.0000   | 0.0011  
182      | 478.74     | 0.3914   | 1.0000   | 0.9240   | 0.7335   | 0.0018   | 0.0000   | 0.0013  
183      | 491.33     | 0.3855   | 1.0000   | 0.9513   | 0.7425   | 0.0014   | 0.0000   | 0.0008  
184      | 480.07     | 0.3883   | 1.0000   | 0.9320   | 0.7043   | 0.0018   | 0.0000   | 0.0011  
185      | 464.10     | 0.4035   | 1.0000   | 0.9127   | 0.7281   | 0.0019   | 0.0000   | 0.0013  
186      | 482.59     | 0.3885   | 1.0000   | 0.9353   | 0.7288   | 0.0016   | 0.0000   | 0.0010  
187      | 479.50     | 0.3929   | 1.0000   | 0.9340   | 0.7351   | 0.0016   | 0.0000   | 0.0010  
188      | 472.59     | 0.3983   | 1.0000   | 0.9233   | 0.7265   | 0.0016   | 0.0000   | 0.0012  
189      | 484.73     | 0.3900   | 1.0000   | 0.9347   | 0.7526   | 0.0015   | 0.0000   | 0.0009  
190      | 481.65     | 0.3884   | 1.0000   | 0.9307   | 0.7218   | 0.0018   | 0.0000   | 0.0011  
191      | 471.66     | 0.4028   | 1.0000   | 0.9287   | 0.7243   | 0.0019   | 0.0000   | 0.0010  
192      | 479.00     | 0.3841   | 1.0000   | 0.9307   | 0.6930   | 0.0020   | 0.0000   | 0.0012  
193      | 482.51     | 0.3831   | 1.0000   | 0.9320   | 0.7315   | 0.0015   | 0.0000   | 0.0010  
194      | 495.21     | 0.3783   | 1.0000   | 0.9427   | 0.7163   | 0.0018   | 0.0000   | 0.0009  
195      | 483.49     | 0.3790   | 1.0000   | 0.9333   | 0.7338   | 0.0016   | 0.0000   | 0.0011  
196      | 483.65     | 0.3863   | 1.0000   | 0.9340   | 0.7304   | 0.0019   | 0.0000   | 0.0011  
197      | 486.87     | 0.3773   | 1.0000   | 0.9360   | 0.7424   | 0.0015   | 0.0000   | 0.0009  
198      | 478.69     | 0.3932   | 1.0000   | 0.9293   | 0.7046   | 0.0018   | 0.0000   | 0.0011  
199      | 480.72     | 0.3851   | 1.0000   | 0.9293   | 0.7349   | 0.0017   | 0.0000   | 0.0010  
200      | 480.67     | 0.3874   | 1.0000   | 0.9293   | 0.7506   | 0.0015   | 0.0000   | 0.0010  
201      | 480.03     | 0.3901   | 1.0000   | 0.9320   | 0.7537   | 0.0013   | 0.0000   | 0.0011  
202      | 481.43     | 0.3938   | 1.0000   | 0.9353   | 0.7364   | 0.0018   | 0.0000   | 0.0010  
203      | 484.15     | 0.3852   | 1.0000   | 0.9353   | 0.7186   | 0.0018   | 0.0000   | 0.0010  
204      | 479.37     | 0.3882   | 1.0000   | 0.9340   | 0.7226   | 0.0019   | 0.0000   | 0.0010  
205      | 485.99     | 0.3849   | 1.0000   | 0.9347   | 0.7243   | 0.0016   | 0.0000   | 0.0010  
206      | 476.14     | 0.3926   | 1.0000   | 0.9313   | 0.7151   | 0.0020   | 0.0000   | 0.0011  
207      | 477.73     | 0.3996   | 1.0000   | 0.9487   | 0.7209   | 0.0016   | 0.0000   | 0.0008  
208      | 482.25     | 0.3817   | 1.0000   | 0.9300   | 0.6950   | 0.0021   | 0.0000   | 0.0011  
209      | 470.74     | 0.4009   | 1.0000   | 0.9307   | 0.7431   | 0.0016   | 0.0000   | 0.0011  
210      | 476.59     | 0.3993   | 1.0000   | 0.9320   | 0.7363   | 0.0014   | 0.0000   | 0.0010  
211      | 478.61     | 0.3862   | 1.0000   | 0.9233   | 0.7345   | 0.0014   | 0.0000   | 0.0011  
212      | 475.39     | 0.3876   | 1.0000   | 0.9287   | 0.7045   | 0.0019   | 0.0000   | 0.0010  
213      | 477.22     | 0.3958   | 1.0000   | 0.9313   | 0.7231   | 0.0015   | 0.0000   | 0.0010  
214      | 470.34     | 0.3903   | 1.0000   | 0.9240   | 0.7218   | 0.0016   | 0.0000   | 0.0011  
215      | 473.75     | 0.3980   | 1.0000   | 0.9293   | 0.7129   | 0.0019   | 0.0000   | 0.0011  
216      | 485.51     | 0.3817   | 1.0000   | 0.9353   | 0.7264   | 0.0015   | 0.0000   | 0.0009  
217      | 493.25     | 0.3805   | 1.0000   | 0.9373   | 0.7556   | 0.0013   | 0.0000   | 0.0009  
218      | 491.40     | 0.3771   | 1.0000   | 0.9387   | 0.7504   | 0.0015   | 0.0000   | 0.0009  
219      | 490.66     | 0.3666   | 1.0000   | 0.9320   | 0.7189   | 0.0016   | 0.0000   | 0.0010  
220      | 489.99     | 0.3731   | 1.0000   | 0.9287   | 0.7519   | 0.0014   | 0.0000   | 0.0011  
221      | 490.66     | 0.3700   | 1.0000   | 0.9347   | 0.7299   | 0.0015   | 0.0000   | 0.0010  
222      | 487.46     | 0.3764   | 1.0000   | 0.9300   | 0.7753   | 0.0010   | 0.0000   | 0.0010  
223      | 492.28     | 0.3724   | 1.0000   | 0.9373   | 0.7406   | 0.0017   | 0.0000   | 0.0009  
224      | 495.98     | 0.3658   | 1.0000   | 0.9407   | 0.7750   | 0.0011   | 0.0000   | 0.0009  
225      | 497.28     | 0.3626   | 1.0000   | 0.9393   | 0.7522   | 0.0013   | 0.0000   | 0.0009  
226      | 491.36     | 0.3719   | 1.0000   | 0.9320   | 0.7553   | 0.0013   | 0.0000   | 0.0011  
227      | 489.88     | 0.3731   | 1.0000   | 0.9340   | 0.7706   | 0.0011   | 0.0000   | 0.0010  
228      | 492.79     | 0.3725   | 1.0000   | 0.9393   | 0.7513   | 0.0014   | 0.0000   | 0.0009  
229      | 507.88     | 0.3429   | 1.0000   | 0.9373   | 0.7819   | 0.0009   | 0.0000   | 0.0010  
230      | 501.65     | 0.3512   | 1.0000   | 0.9347   | 0.7816   | 0.0011   | 0.0000   | 0.0010  
231      | 510.55     | 0.3410   | 1.0000   | 0.9433   | 0.7718   | 0.0010   | 0.0000   | 0.0009  
232      | 511.64     | 0.3410   | 1.0000   | 0.9407   | 0.7801   | 0.0010   | 0.0000   | 0.0009  
233      | 511.88     | 0.3484   | 1.0000   | 0.9427   | 0.7825   | 0.0010   | 0.0000   | 0.0008  
234      | 508.50     | 0.3462   | 1.0000   | 0.9413   | 0.7699   | 0.0011   | 0.0000   | 0.0009  
235      | 502.74     | 0.3513   | 1.0000   | 0.9380   | 0.7674   | 0.0013   | 0.0000   | 0.0009  
236      | 511.30     | 0.3390   | 1.0000   | 0.9447   | 0.7940   | 0.0011   | 0.0000   | 0.0008  
237      | 515.12     | 0.3384   | 1.0000   | 0.9427   | 0.7839   | 0.0010   | 0.0000   | 0.0009  
238      | 518.78     | 0.3341   | 1.0000   | 0.9393   | 0.7960   | 0.0009   | 0.0000   | 0.0009  
